price, area, lastUpdated, url
"56,000", "2400","2024-02-16T04:35:50.000Z","http://nobr.kr/sv/19FTM34"
"58,000", "2400","2024-03-01T08:13:45.000Z","http://nobr.kr/sv/1zjKXC3"
"65,000", "2000","2024-02-19T13:47:35.000Z","http://nobr.kr/sv/pQHFL5"
"65,000", "2400","2024-02-24T09:31:08.000Z","http://nobr.kr/sv/18QFmH3"
"65,000", "2400","2024-02-14T07:43:26.000Z","http://nobr.kr/sv/1DykFn4"
"85,000", "2400","2024-02-13T11:07:32.000Z","http://nobr.kr/sv/1tSP7N3"
"22,500", "1700","2024-03-02T06:38:05.000Z","http://nobr.kr/sv/1B4D714"
"25,000", "1500","2024-02-10T14:06:49.000Z","http://nobr.kr/sv/1pTj9b4"
"32,000", "1467","2024-02-17T11:47:14.000Z","http://nobr.kr/sv/1pb1qZ3"
"35,000", "2500","2024-03-01T06:38:20.000Z","http://nobr.kr/sv/1np32Q3"
"57,000", "2218","2024-01-30T03:10:57.000Z","http://nobr.kr/sv/1wfvfZ3"
"50,000", "2218","2024-02-27T09:45:26.000Z","http://nobr.kr/sv/12cJCg4"
"60,000", "3000","2024-03-01T13:22:05.000Z","http://nobr.kr/sv/1DPqTP3"
"30,000", "1685","2024-02-24T10:31:03.000Z","http://nobr.kr/sv/1KgRwG3"
"26,500", "1600","2024-02-28T13:33:37.000Z","http://nobr.kr/sv/1K2VR74"
"40,000", "2500","2024-02-01T04:37:24.000Z","http://nobr.kr/sv/1KnsZY3"
"32,000", "1584","2024-02-15T11:58:29.000Z","http://nobr.kr/sv/19cbXW3"
"25,000", "515","2024-03-01T15:08:52.000Z","http://nobr.kr/sv/1w8d7J3"
"27,000", "700","2024-02-29T22:40:48.000Z","http://nobr.kr/sv/1LYn1S3"
"32,000", "700","2024-02-26T17:20:58.000Z","http://nobr.kr/sv/1C1KjF3"
"32,500", "600","2024-03-02T05:49:15.000Z","http://nobr.kr/sv/1k293F3"
"35,000", "618","2024-01-25T23:15:44.000Z","http://nobr.kr/sv/19XL3Y3"
"35,000", "650","2024-01-21T07:01:35.000Z","http://nobr.kr/sv/1BcfyZ3"
"36,000", "610","2024-01-27T22:57:08.000Z","http://nobr.kr/sv/1grDsX3"
"37,000", "1012","2024-03-02T10:35:27.000Z","http://nobr.kr/sv/1s8crJ3"
"45,000", "1376","2024-02-15T06:09:20.000Z","http://nobr.kr/sv/1nr9fM3"
"45,000", "1420","2024-02-23T04:35:02.000Z","http://nobr.kr/sv/1FkNfY3"
"3.5 Lacs", "4113","2024-02-23T09:55:09.000Z","http://nobr.kr/sv/1GJSBV3"
"3.9 Lacs", "4041","2024-02-10T10:36:09.000Z","http://nobr.kr/sv/11sMvF4"
"4 Lacs", "3935","2024-03-02T08:47:02.000Z","http://nobr.kr/sv/1wD29C3"
"25,000", "1800","2024-01-27T13:04:19.000Z","http://nobr.kr/sv/11KPZh4"
"25,000", "1800","2024-03-02T14:59:02.000Z","http://nobr.kr/sv/1TMCqD3"
"30,000", "1500","2024-02-25T02:51:00.000Z","http://nobr.kr/sv/1rMHRZ3"
"32,500", "2300","2024-02-04T16:13:36.000Z","http://nobr.kr/sv/1Qsg3S3"
"48,000", "3400","2024-02-25T17:55:05.000Z","http://nobr.kr/sv/1JSxSG3"
"70,000", "3300","2024-03-02T08:01:43.000Z","http://nobr.kr/sv/1VTgtV3"
"45,000", "2800","2024-02-21T12:31:14.000Z","http://nobr.kr/sv/1tCjSH3"
"50,000", "1888","2024-02-23T22:18:04.000Z","http://nobr.kr/sv/14mDhb7"
"30,000", "2170","2024-03-02T16:20:40.000Z","http://nobr.kr/sv/1kJ16t5"
"32,000", "2100","2024-03-02T02:16:57.000Z","http://nobr.kr/sv/1XPzrZ3"
"38,000", "2600","2024-02-21T04:38:53.000Z","http://nobr.kr/sv/1RJc8g4"
"42,000", "1665","2024-03-01T07:42:25.000Z","http://nobr.kr/sv/14NkSD3"
"85,000", "1924","2024-02-11T16:06:06.000Z","http://nobr.kr/sv/1FnbtQ5"
"50,000", "1250","2024-02-28T03:31:40.000Z","http://nobr.kr/sv/1G3vJf4"
"65,000", "1655","2024-02-16T00:34:28.000Z","http://nobr.kr/sv/11HHtW3"
"1.3 Lacs", "3117","2024-03-01T12:56:36.000Z","http://nobr.kr/sv/13QK7P3"
"25,000", "1550","2024-02-20T06:22:00.000Z","http://nobr.kr/sv/1J6fN54"
"1 Lac", "5000","2024-02-12T09:26:42.000Z","http://nobr.kr/sv/1bfk7N3"
"35,000", "1400","2024-03-01T18:16:18.000Z","http://nobr.kr/sv/19SKNF3"
"48,000", "3000","2024-03-01T06:30:34.000Z","http://nobr.kr/sv/1Mpk5V3"
"27,000", "1550","2024-03-01T06:05:26.000Z","http://nobr.kr/sv/1LXJbF3"
"35,000", "1387","2024-02-17T11:17:15.000Z","http://nobr.kr/sv/1LX7PK3"
"32,000", "615","2024-02-24T09:59:06.000Z","http://nobr.kr/sv/1RscQm4"
"45,000", "1190","2024-02-05T09:32:04.000Z","http://nobr.kr/sv/14kPrs4"
"17,000", "520","2024-03-01T05:47:39.000Z","http://nobr.kr/sv/1wF6TC3"
"21,000", "680","2024-02-29T22:57:32.000Z","http://nobr.kr/sv/15JCLD3"
"24,000", "901","2024-02-18T18:06:17.000Z","http://nobr.kr/sv/1gCF4K3"
"25,000", "1193","2024-02-26T23:50:12.000Z","http://nobr.kr/sv/1Y9TBR4"
"25,000", "1125","2024-02-14T04:49:16.000Z","http://nobr.kr/sv/1sCT5s6"
"27,000", "900","2024-02-29T18:36:51.000Z","http://nobr.kr/sv/1yC12Q3"
"28,000", "901","2024-02-25T05:13:08.000Z","http://nobr.kr/sv/1PVyt74"
"30,000", "1200","2024-02-10T19:45:08.000Z","http://nobr.kr/sv/1QvYM55"
"30,000", "1106","2024-02-25T04:33:36.000Z","http://nobr.kr/sv/1h3bkG3"
"30,000", "900","2024-03-01T09:02:38.000Z","http://nobr.kr/sv/1tXfRG3"
"50,000", "4000","2024-03-01T18:07:15.000Z","http://nobr.kr/sv/1Z76cD3"
